Original File name/description,File name,,Used images (as of 2/26),Unused images (as of 2/26)
"0210-1830s Frederick Granger Williams- unknown artist, painting owned by F.G.Williams family Provo, UT.jpg",0210_image.jpg,,0303_image.jpg,0742_image.jpg
0211-1830s Rustic dance after a sleighride by Wm. Sydney Mount.jpg,0211_image.jpg,,0304_image.jpg,0771_image.jpg
"0212-1830s black servant, Mammy with white baby, saved by Kimberly Wallace-Sanders, PhD.jpg",0212_image.jpg,,0306_image.jpg,0773_image.JPG
0213-1830s Canada.jpg,0213_image.jpg,,0307_image.jpg,0776_image.JPG
0214-1830s Charles Coulson Rich.jpg,0214_image.jpg,,0308_image.jpg,0779_image.JPG
0215-1830s children's clothes.jpg,0215_image.jpg,,0309_image.jpg,0780_image.jpg
"0216-1830s early, women riding habits and page.jpg",0216_image.jpg,,0310_image.jpg,0784_image.jpg
0217-1830s farm women httpswww.connerprairie.org,0217_image.jpg,,0312_image.jpg,0786_image.JPG
0218-1830s Fashion Plate man's frock coat httpsellie-valsin.tumblr.com.jpg,0218_image.jpg,,0313_image.jpg,0789_image.jpg
0219-1830s fashionable man.jpg,0219_image.jpg,,0314_image.jpg,0790_image.JPG
0220-1830s housewife connorprarie.org,0220_image.jpg,,0315_image.jpg,0792_image.jpg
0221-1830s housewife.jpg,0221_image.jpg,,0316_image.jpg,0795_image.JPG
0222-1830s Joseph Fielding grayscale hair.jpg,0222_image.jpg,,0317_image.jpg,0796_image.JPG
"0223-1830s late, or 1840s. Patty Bartlett Sessions best dress.jpg",0223_image.jpg,,0318_image.jpg,0797_image.JPG
0224-1830s Men's cloak.jpg,0224_image.jpg,,0319_image.jpg,0799_image.JPG
"0225-1830s on Speckled blue stocking, Emma's style 1830-40 knitted by virginia Sorenson.jpg",0225_image.jpg,,0320_image.jpg,0801_image.JPG
"0226-1830s servant, slicing bread.jpg",0226_image.jpg,,0321_image.jpg,0808_image.JPG
"0227-1830s Wikimedia, bhttpscommons.wikimedia.Joseph_Jonet_and_his_two_daughters_by_Franois-Joseph_Navez_public domain.jpg",0227_image.jpg,,0323_image.jpg,0809_image.JPG
"0228-1830s woman's moderate ballgown, National Trust.jpg",0228_image.jpg,,0324_image.jpg,0821_image.JPG
0229-1830s-40s American day cap made entirely with hand stitching.jpg,0229_image.jpg,,0325_image.jpg,0823_image.jpg
0230-1830s-40s On. Children of poverty often turned to crime.jpg,0230_image.jpg,,0326_image.jpg,0825_image.jpg
"0231-1830s-40s Young woman in a miniature portrait on ivory in rich silk shawl, Wisconsin Historical Society, Madison.jpg",0231_image.jpg,,0327_image.jpg,0834_image.JPG
0232-1830s-50s connected bodice and drawers for little child 3-4 Godeys.jpg,0232_image.jpg,,0328_image.jpg,
